笑,0.028036812567841754,0.03921911932066883,0.0007299650659575577,0.00015815277558121145,0.027457463107813888,0.00012351778656126481
ー,0.02670926205331769,0.11730718725378622,0.02017832003754106,0.008223944330222995,0.020724135150391097,0.015192687747035574
市,0.015478252064370188,0.00017508535411012868,0.00031284217112466763,0.000869840265696663,8.063865817272801e-05,0.004199604743083004
県,0.013042458039090645,8.754267705506434e-05,0.0005214036185411127,0.0012652222046496916,0.00012095798725909201,0.004199604743083004
今日,0.009461904978049785,0.005952902039744376,0.006726106679180353,0.003400284674996046,0.013184420611241029,0.003767292490118577
駅,0.008798423769671403,0.00026262803116519303,0.0011992283226445592,0.0030049027360430176,0.00044351261995000406,0.002408596837944664
人,0.00820064912093017,0.01470716974525081,0.011783721779029147,0.005693499920923612,0.023022336908313845,0.003458498023715415
東京,0.007578174365962441,0,0.0016163512174774493,0.0005535347145342401,0.00141117651802274,0.002717391304347826
区,0.0073184490065505,0.00017508535411012868,0.00015642108556233381,0.00023722916337181717,0.00012095798725909201,0.0017292490118577075
日,0.007135817918087925,0.009717237153112143,0.0059440012513686845,0.006167958247667246,0.00725747923554552,0.014883893280632412
