readed png, RainTime:0.097685257, MeCabTime:0.000330209, UsedTime:0.098132521

Tweet:531303062426484736, 2014-11-30T06:02:34+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097581962, MeCabTime:0.000329232, UsedTime:0.098026502

Tweet:531303063579922433, 2014-11-30T06:02:34+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097150762, MeCabTime:0.000302902, UsedTime:0.097566039

Tweet:531303063534198786, 2014-11-30T06:02:34+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=7&z=7&date=201411091330, filename:img/2014/11/09/x56y7_1330.png, 
readed png, RainTime:0.397125919, MeCabTime:0.000452711, UsedTime:0.397704415

Tweet:531303063835779072, 2014-11-30T06:02:35+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.0974464, MeCabTime:0.00034781, UsedTime:0.097962527

Tweet:531303064133582848, 2014-11-30T06:02:35+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.098271645, MeCabTime:0.000383219, UsedTime:0.098788819

Tweet:531303066012626946, 2014-11-30T06:02:35+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=57&y=7&z=7&date=201411091330, filename:img/2014/11/09/x57y7_1330.png, 
readed png, RainTime:0.36598411, MeCabTime:0.000350952, UsedTime:0.36645931

Tweet:531303067061194753, 2014-11-30T06:02:35+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.096606209, MeCabTime:0.000400889, UsedTime:0.097165708

Tweet:531303068269154304, 2014-11-30T06:02:35+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.098186368, MeCabTime:0.000569974, UsedTime:0.098874514

